BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
200801,19,1900,200801,20,1200,13295,74449,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,1200,13295,74452,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,1200,13295,74453,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,1200,13295,74492,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,1200,13295,74495,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,1200,13295,74505,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,1200,13295,74515,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,1200,13295,74516,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,2100,13295,74518,MONTANA,30,2008,January,Winter Storm
200801,19,1900,200801,20,1200,13414,74521,WYOMING,56,2008,January,Winter Storm
200801,17,700,200801,17,2100,13296,74566,MONTANA,30,2008,January,Winter Storm
200801,17,700,200801,17,2100,13296,74576,MONTANA,30,2008,January,Winter Storm
200801,27,1800,200801,28,1700,13422,74684,MONTANA,30,2008,January,Winter Storm
200801,30,2300,200801,31,800,13117,74866,IDAHO,16,2008,January,Winter Storm
200801,30,2300,200801,31,1900,13117,74867,IDAHO,16,2008,January,Winter Storm
200801,30,2200,200801,31,2200,13118,74873,WASHINGTON,53,2008,January,Winter Storm
200801,30,2200,200801,31,700,13118,74874,WASHINGTON,53,2008,January,Winter Storm
200801,30,2200,200801,31,1900,13118,74876,WASHINGTON,53,2008,January,Winter Storm
200801,31,1100,200801,31,2359,13463,75091,COLORADO,8,2008,January,Winter Storm
200801,31,1200,200801,31,2359,13463,75093,COLORADO,8,2008,January,Winter Storm
200801,31,1100,200801,31,2359,13463,75096,COLORADO,8,2008,January,Winter Storm
200801,8,1000,200801,9,1100,13100,75109,WASHINGTON,53,2008,January,Winter Storm
200801,29,1200,200801,31,1300,13469,75130,COLORADO,8,2008,January,Winter Storm
200801,8,900,200801,9,2100,13472,75140,COLORADO,8,2008,January,Winter Storm
200801,8,1000,200801,9,2100,13472,75141,COLORADO,8,2008,January,Winter Storm
200801,8,1000,200801,9,1400,13472,75143,COLORADO,8,2008,January,Winter Storm
200801,8,1100,200801,9,2000,13472,75145,COLORADO,8,2008,January,Winter Storm
200801,8,1000,200801,9,1400,13472,75147,COLORADO,8,2008,January,Winter Storm
200801,8,1200,200801,9,1400,13472,75149,COLORADO,8,2008,January,Winter Storm
200801,8,1100,200801,9,1800,13472,75150,COLORADO,8,2008,January,Winter Storm
